country,region,pop_growth,birth_rate,death_rate,maternal_mort_rate,infant_mort_rate,life_expectancy,total_fert_rate,living_with_hiv,hiv_deaths,literacy,gdp_per_capita,unemployment,inflation,adult_obesity,pop_below_poverty
Austria,Europe,0.35000000000000003,9.5,9.8,5.0,3.3,81.9,1.49,7400.0,100.0,,50000.0,7.35,2.2,20.1,3.0
Azerbaijan,Asia,0.77,14.5,7.0,26.0,21.3,73.6,1.88,9700.0,500.0,99.8,17500.0,5.0,13.0,19.9,4.9
"Bahamas, The",Central America and the Caribbean,0.75,14.8,7.4,70.0,10.6,73.3,1.92,6000.0,200.0,,32400.0,10.1,1.4,31.6,9.3
Bahrain,Middle East,2.08,12.7,2.8,14.0,8.3,79.4,1.69,500.0,100.0,97.5,49000.0,3.6,1.4,29.8,
Bangladesh,Asia,0.98,18.1,5.5,173.0,28.3,74.2,2.11,14000.0,1000.0,73.9,4200.0,4.4,5.6,3.6,24.3
Barbados,Central America and the Caribbean,0.23,11.3,8.8,27.0,9.6,76.0,1.6800000000000002,2700.0,100.0,99.6,18600.0,10.1,4.4,23.1,
Belarus,Europe,-0.27,9.5,13.1,2.0,3.5,73.8,1.5,28000.0,200.0,99.8,18900.0,0.8,6.0,24.5,5.7
Belgium,Europe,0.63,11.1,9.8,5.0,3.3,81.4,1.77,,,,46600.0,5.36,2.2,22.1,15.1
Belize,Central America and the Caribbean,1.72,22.0,4.1,36.0,11.2,75.3,2.7,4900.0,200.0,,8300.0,9.0,1.1,24.1,41.0
Benin,Africa,3.4,42.1,8.4,397.0,58.7,61.4,5.53,75000.0,2300.0,42.4,2300.0,1.0,0.1,9.6,36.2
Bermuda,North America,0.39,11.2,9.1,,2.5,81.7,1.91,,,,99400.0,7.0,1.9,,11.0
Bhutan,Asia,1.02,16.3,6.3,183.0,27.0,72.1,1.82,1300.0,100.0,66.6,9000.0,3.2,5.8,6.4,12.0
Bolivia,South America,1.44,20.8,6.3,155.0,32.2,70.4,2.48,19000.0,200.0,92.5,7600.0,4.0,2.8,20.2,38.6
Bosnia And Herzegovina,Europe,-0.19,8.6,10.2,10.0,5.2,77.5,1.33,500.0,100.0,98.5,12800.0,33.28,1.2,17.9,16.9
Botswana,Africa,1.48,20.9,9.2,144.0,26.8,64.8,2.45,380000.0,5000.0,88.5,17000.0,20.0,3.3,18.9,19.3
Brazil,South America,0.67,13.6,6.9,60.0,15.9,74.7,1.73,920000.0,14000.0,93.2,15600.0,11.93,3.4,22.1,4.2
British Virgin Islands,Central America and the Caribbean,2.14,11.1,5.4,,11.0,79.2,1.33,,,,34200.0,2.9,1.1,,
Brunei,Southeast Asia,1.51,16.5,3.8,31.0,8.8,77.9,1.75,,,97.2,78900.0,6.9,-0.2,14.1,
Bulgaria,Europe,-0.65,8.3,14.6,10.0,8.1,75.0,1.49,3300.0,100.0,98.4,21800.0,5.66,1.2,25.0,23.4
Burkina Faso,Africa,2.66,35.1,8.2,320.0,52.0,62.7,4.51,100000.0,3100.0,41.2,1900.0,77.0,0.4,5.6,40.1
Burma,Southeast Asia,0.85,17.0,7.2,250.0,31.7,69.3,2.07,240000.0,7700.0,75.6,6300.0,4.0,4.0,5.8,25.6
Burundi,Africa,2.85,36.5,6.2,548.0,40.1,66.7,5.28,85000.0,1800.0,68.4,700.0,,16.6,5.4,64.6
Cabo Verde,Africa,1.28,19.1,5.9,58.0,19.7,73.2,2.16,2500.0,100.0,86.8,7000.0,9.0,0.8,11.8,30.0
Cambodia,Southeast Asia,1.4,21.3,7.3,160.0,43.7,65.9,2.39,73000.0,1300.0,80.5,4000.0,0.30000000000000004,2.9,3.9,16.5
Cameroon,Africa,2.78,36.3,8.1,529.0,51.5,62.3,4.66,510000.0,14000.0,77.1,3700.0,4.3,0.6000000000000001,11.4,30.0
Canada,North America,0.81,10.2,7.9,10.0,4.3,83.4,1.57,,,,48400.0,5.67,1.6,29.4,9.4
Cayman Islands,Central America and the Caribbean,1.9,11.9,6.1,,5.5,81.6,1.83,,,98.9,43800.0,4.0,2.0,,
Central African Republic,Africa,2.09,33.2,12.3,829.0,80.6,54.2,4.14,100000.0,3800.0,37.4,700.0,6.9,4.1,7.5,62.0
Chad,Africa,3.18,41.7,10.0,1140.0,68.6,58.3,5.68,120000.0,3200.0,22.3,2300.0,,-0.9,6.1,46.7
Chile,South America,0.71,13.1,6.5,13.0,6.2,79.4,1.77,74000.0,1000.0,96.4,24600.0,7.22,2.2,28.0,14.4
China,Asia,0.32,11.6,8.2,29.0,11.4,76.1,1.6,,,96.8,18200.0,3.64,1.6,6.2,3.3
Christmas Island,Southeast Asia,1.11,,,,,,,,,,,,,,
Cocos (Keeling) Islands,Southeast Asia,0.0,,,,,,,,,,,0.1,,,
Colombia,South America,0.93,15.4,5.6,83.0,12.3,76.6,1.94,200000.0,4100.0,95.1,14400.0,10.5,4.3,22.3,28.0
Comoros,Africa,1.47,23.6,6.9,273.0,55.0,65.7,2.95,200.0,100.0,58.8,1600.0,6.5,1.0,7.8,44.8
"Congo, Democratic Republic Of The",Africa,3.18,41.0,8.4,473.0,64.5,61.0,5.77,520000.0,15000.0,77.0,800.0,,41.5,6.7,63.0
"Congo, Republic Of The",Africa,2.26,32.6,8.7,378.0,50.7,61.3,4.45,100000.0,4500.0,80.3,6800.0,36.0,0.5,9.6,46.5
Cook Islands,Oceania,-2.59,13.3,9.0,,11.9,76.6,2.12,,,,16700.0,13.1,2.2,55.9,
Coral Sea Islands,Oceania,,,,,,,,,,,,,,,
Costa Rica,Central America and the Caribbean,1.08,14.8,4.9,27.0,7.5,79.2,1.87,14000.0,200.0,97.9,16900.0,8.1,1.6,25.7,21.7
Cote D'Ivoire,Africa,2.26,29.1,7.9,617.0,59.1,61.3,3.67,430000.0,13000.0,47.2,3900.0,9.4,0.8,10.3,46.3
Croatia,Europe,-0.5,8.7,12.8,8.0,8.6,76.7,1.42,1600.0,100.0,99.3,24700.0,8.07,1.1,24.4,19.5
